"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","10u","Library:cap0603",""
"2","C2","1","10n","Library:cap0603",""
"3","C3","1","220u","Library:EIA-7343-D",""
"4","C4","1","0u1","Library:cap0603",""
"5","D1","1","SS54","Library:SMA (DO-214AC)",""
"6","J101","1","0526101433","footprints:522711479",""
"7","L1","1","15uH","Library:0630 One Piece Inductor",""
"8","R1","1","10K","Library:res0603",""
"9","R2","1","5K9","Library:res0603",""
"10","R101","1","10K","footprints:res0603",""
"11","R102","1","1K","footprints:res0603",""
"12","SW101","1","SW_Push","footprints:SW_PUSH_SPST",""
"13","U1","1","TPS5430DDA","Library:TI_SO-PowerPAD-8",""
"14","U102","1","DEV-15583 Teensy 4.0","MODULE_DEV-15583",""
"15","U103","1","xiao-esp32c3","footprints:xiao-esp32c3",""
