Designator,Mid X,Mid Y,Rotation,Layer
C1,56.096,1.143,0.0,top
C2,55.118,-5.436,270.0,top
C3,45.212,2.756001,90.0,top
C4,-27.559,-25.019,180.0,top
C5,-28.448,-31.521,270.0,top
C6,-38.354,-23.151999,90.0,top
D1,47.131,-9.906,0.0,top
D2,-36.435,-35.814001,0.0,top
J1,-0.134743,42.50054,0.0,top
J2,-0.130057,-35.04794,180.0,top
J3,-11.684,-80.772,270.0,top
J5,10.16,-80.772,270.0,top
L1,48.481,-4.699,0.0,top
L2,-34.958,-30.226,0.0,top
R1,55.969,3.048,180.0,top
R101,-20.612,-71.628,0.0,top
R102,-27.253999,-74.422,180.0,top
R2,55.969,4.953,0.0,top
R3,-27.521,-22.86,180.0,top
R4,-27.597,-20.828,0.0,top
SW101,-21.913999,-74.422,0.0,top
U1,50.198,2.667,180.0,top
U2,0.508,-69.342,270.0,top
U3,-33.368,-23.241001,180.0,top
batawg1,39.878,2.032,0.0,top
batawg2,-49.7078,2.2606,0.0,top
